SubjectName HK,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
88,0.01,1965091.92,0.17,1970125.26,1,Yes,696.64,6,Yes,9 1 8 4 7 5 ,4
89,0.01,1971325.26,0.16,1976358.6,1,No,1311.35,8,No,8 7 4 1 9 5 3 2 ,6
90,0.03,1978175.28,0.16,1983208.62,1,Yes,909.36,8,Yes,7 1 6 9 3 4 8 5 ,3
91,0.01,1984625.29,0.17,1989658.63,1,No,1419.41,8,No,7 2 9 1 5 4 3 6 ,8
92,0.01,1991591.97,0.16,1996625.31,1,No,2692.77,8,No,6 3 8 4 5 7 2 9 ,1
93,0.02,1999825.32,0.16,2004858.66,1,Yes,795.38,2,Yes,7 8 ,8
94,0.01,2006158.66,0.17,2011192.01,1,No,886.14,4,No,6 1 5 3 ,4
95,0.01,2012592.01,0.16,2017625.35,1,No,1188.86,8,No,9 2 7 1 4 5 3 8 ,6
96,0.02,2019325.35,0.17,2024358.7,1,Yes,823.49,8,Yes,6 3 9 1 2 4 7 8 ,1
97,0.02,2025692.03,0.16,2030725.37,1,No,2104.92,8,No,9 3 2 5 7 4 6 8 ,1
98,0.01,2033342.05,0.17,2038375.39,1,Yes,1102.91,6,Yes,8 6 1 4 7 2 ,2
99,0.01,2039992.06,0.17,2045025.4,1,No,796.9,2,No,9 7 ,3
100,0.02,2046325.41,0.17,2051358.75,1,No,911.64,6,No,2 1 7 3 6 9 ,4
101,0.01,2052775.42,0.16,2057808.76,1,No,901.66,2,No,2 3 ,1
102,0.02,2059225.43,0.17,2064258.77,1,Yes,923.7,8,Yes,6 3 4 9 7 5 1 8 ,5
103,0.01,2065692.11,0.16,2070725.45,1,Yes,753.05,6,Yes,9 7 1 8 5 4 ,1
104,0.01,2071992.12,0.17,2077025.46,1,Yes,1021.04,8,Yes,3 7 6 2 5 8 4 1 ,6
105,0.02,2078558.8,0.16,2083592.15,1,No,702.39,2,No,9 5 ,4
106,0.01,2084808.81,0.18,2089842.16,1,No,884.39,2,No,8 6 ,7
107,0.01,2091242.16,0.16,2096275.5,1,No,851.16,6,No,9 1 3 4 7 2 ,5
108,0.02,2097642.17,0.16,2102675.51,1,No,843.15,2,No,5 7 ,2
109,0.01,2104025.52,0.16,2109058.86,1,No,675.85,2,No,1 2 ,8
110,0.01,2110242.19,0.17,2115275.54,1,Yes,1171.21,2,Yes,4 2 ,2
111,0.01,2116958.87,0.16,2121992.22,1,Yes,1038.6,2,Yes,6 9 ,6
112,0.02,2123542.22,0.17,2128575.56,0,Yes,1151.23,4,No,4 9 3 7 ,6
113,0.01,2130242.23,0.16,2135275.57,1,No,1611.33,8,No,6 3 4 2 8 5 1 9 ,7
114,0.01,2137392.25,0.16,2142425.59,1,No,1213.35,8,No,5 7 8 1 3 4 2 6 ,9
115,0.01,2144142.26,0.16,2149175.6,1,Yes,880.94,8,Yes,3 8 6 4 1 2 9 7 ,2
116,0.01,2150558.94,0.17,2155592.28,1,No,934.74,4,No,7 8 2 3 ,6
117,0.01,2157042.29,0.15,2162075.63,1,Yes,907.39,8,Yes,8 7 1 3 4 9 5 6 ,5
118,0.01,2163492.3,0.16,2168525.64,1,No,2473.46,6,No,4 9 6 8 3 1 ,5
119,0.01,2171508.98,0.16,2176542.32,1,No,672.82,2,No,9 7 ,4
120,0.02,2177725.66,0.16,2182759,1,Yes,864.18,2,Yes,5 4 ,5
121,0.01,2184125.67,0.15,2189159.01,1,Yes,896.21,8,Yes,3 2 8 6 1 7 5 9 ,5
122,0.01,2190559.01,0.17,2195592.36,1,Yes,838.83,4,Yes,9 2 8 5 ,5
123,0.01,2196942.36,0.15,2201975.7,1,Yes,1367.57,4,Yes,7 5 3 1 ,1
124,0.02,2203859.04,0.16,2208892.38,1,Yes,1402.98,8,Yes,7 3 2 5 9 4 6 1 ,9
125,0.01,2210809.06,0.16,2215842.4,1,No,1925,8,No,2 3 4 7 1 8 5 6 ,9
126,0.01,2218275.73,0.17,2223309.08,1,Yes,706.34,2,Yes,2 1 ,2
127,0.02,2224525.75,0.16,2229559.09,1,No,1816.37,8,No,4 9 6 3 5 7 2 1 ,8
128,0.01,2231892.43,0.16,2236925.77,1,No,937.73,4,No,1 7 9 6 ,3
129,0.01,2238375.77,0.15,2243409.11,1,Yes,718.38,4,Yes,9 7 5 6 ,6
130,0.03,2244642.45,0.17,2249675.79,1,No,875.83,4,No,2 6 8 5 ,1
131,0.01,2251059.13,0.15,2256092.47,1,No,915.17,4,No,4 8 1 5 ,9
132,0.02,2257509.14,0.16,2262542.49,1,Yes,833.13,4,Yes,5 8 6 7 ,6
133,0.01,2263892.49,0.16,2268925.83,1,No,1017.86,8,No,5 2 6 9 1 7 8 3 ,4
134,0.02,2270459.17,0.17,2275492.51,1,Yes,883.17,6,Yes,1 6 9 8 5 2 ,8
135,0.01,2276892.51,0.16,2281925.86,0,Yes,1889.95,8,No,7 5 1 4 2 9 8 3 ,6
136,0.01,2284325.86,0.17,2289359.2,1,No,688.56,4,No,2 4 9 5 ,8
137,0.01,2290559.2,0.16,2295592.55,1,Yes,679.32,2,Yes,8 2 ,8
138,0.01,2296775.88,0.16,2301809.23,1,Yes,718.66,2,Yes,9 1 ,9
139,0.01,2303042.56,0.15,2308075.91,1,Yes,1075.97,4,Yes,3 9 4 7 ,4
140,0.02,2309659.24,0.16,2314692.59,1,No,1179.4,8,No,7 5 9 3 4 6 8 1 ,2
141,0.01,2316375.92,0.15,2321409.26,1,No,1022.72,8,No,7 1 9 5 4 3 2 8 ,6
142,0.02,2322942.6,0.17,2327975.94,1,No,904.06,6,No,1 6 7 2 9 4 ,8
143,0.02,2329392.61,0.16,2334425.96,1,Yes,934.08,4,Yes,1 9 2 3 ,2
144,0.01,2335875.96,0.16,2340909.3,1,No,1498.8,4,No,5 8 9 7 ,4
145,0.03,2342909.31,0.15,2347942.65,1,No,2009.57,8,No,2 8 3 7 9 4 5 6 ,1
146,0.02,2350459.32,0.17,2355492.66,1,Yes,2555.51,6,Yes,9 2 5 8 1 6 ,1
147,0.01,2358559.34,0.16,2363592.68,1,Yes,1927.61,8,Yes,5 8 2 1 4 9 6 3 ,3
148,0.01,2366026.02,0.16,2371059.36,1,Yes,780.91,2,Yes,2 5 ,5
149,0.01,2372342.69,0.16,2377376.04,1,Yes,704.33,4,Yes,8 2 1 9 ,2
150,0.01,2378592.71,0.18,2383626.05,1,No,1110.36,2,No,9 7 ,2
151,0.02,2385242.72,0.15,2390276.06,1,Yes,876.32,4,Yes,6 3 9 4 ,4
152,0.02,2391659.4,0.16,2396692.74,1,Yes,1595.75,8,Yes,8 9 5 2 1 4 7 6 ,6
153,0.01,2398792.75,0.15,2403826.09,1,Yes,1086.37,6,Yes,4 5 8 9 7 3 ,9
154,0.01,2405426.09,0.16,2410459.43,1,Yes,773.14,2,Yes,7 8 ,8
155,0.01,2411742.78,0.16,2416776.11,1,No,760.51,2,No,7 6 ,9
156,0.02,2418042.78,0.17,2423076.13,1,Yes,1012.51,6,Yes,8 2 6 5 9 3 ,2
157,0.03,2424592.8,0.16,2429626.14,1,No,1102.52,6,No,7 5 1 3 2 9 ,6
158,0.01,2431242.81,0.16,2436276.16,1,Yes,804.56,2,Yes,5 9 ,5
159,0.01,2437592.82,0.17,2442626.17,1,No,702.6,2,No,3 2 ,5
160,0.02,2443842.83,0.18,2448876.17,1,No,1364.64,6,No,1 2 8 4 7 5 ,9
161,0.02,2450742.84,0.16,2455776.19,1,Yes,888.58,6,Yes,7 1 4 3 9 2 ,3
162,0.01,2457176.19,0.16,2462209.54,1,No,1455.35,8,No,7 5 8 6 2 4 3 1 ,9
163,0.01,2464176.2,0.15,2469209.55,1,Yes,791.31,4,Yes,3 5 2 6 ,3
164,0.01,2470509.55,0.17,2475542.89,1,No,938.07,4,No,3 9 7 1 ,4
165,0.01,2476992.9,0.15,2482026.24,1,No,726.74,4,No,5 8 3 1 ,2
166,0.01,2483259.58,0.16,2488292.92,1,No,1212.13,2,No,3 1 ,9
167,0.01,2490009.59,0.16,2495042.93,1,Yes,1142.1,4,Yes,6 2 5 8 ,6
168,0.01,2496692.93,0.16,2501726.27,1,Yes,834.79,6,Yes,4 7 2 6 3 8 ,6
169,0.01,2503076.28,0.15,2508109.62,1,Yes,1299.55,4,Yes,1 3 4 9 ,3
170,0.02,2509909.63,0.16,2514942.97,1,No,762.2,4,No,6 2 8 1 ,5
171,0.01,2516209.64,0.15,2521242.98,1,Yes,1230.26,8,Yes,2 7 8 1 4 5 6 9 ,2
172,0.01,2522976.32,0.16,2528009.66,1,Yes,1063.55,6,Yes,1 4 9 6 8 7 ,7
173,0.01,2529576.33,0.15,2534609.67,1,No,1895.61,8,No,4 6 1 2 3 7 9 5 ,8
174,0.01,2537009.68,0.16,2542043.02,1,Yes,758.35,4,Yes,1 4 5 3 ,3
175,0.02,2543309.69,0.15,2548343.03,1,Yes,858.37,6,Yes,9 1 7 3 2 4 ,4
176,0.01,2549709.7,0.16,2554743.04,1,No,779,2,No,2 7 ,8
177,0.01,2556026.38,0.15,2561059.72,1,Yes,693.76,2,Yes,2 3 ,3
178,0.01,2562259.73,0.16,2567293.07,1,Yes,948.38,4,Yes,6 9 8 5 ,8
179,0.02,2568743.07,0.19,2573776.42,1,No,1489.09,8,No,5 9 8 7 4 6 2 1 ,3
180,0.01,2575776.42,0.16,2580809.76,1,No,999.78,6,No,4 2 8 3 1 9 ,6
181,0.01,2582326.44,0.17,2587359.77,1,No,1489.89,6,No,7 9 8 3 2 4 ,6
182,0.01,2589359.78,0.16,2594393.12,1,Yes,1232.56,8,Yes,7 9 1 5 8 2 4 6 ,4
183,0.01,2596126.46,0.15,2601159.8,1,No,713.92,4,No,1 7 4 2 ,8
184,0.01,2602376.47,0.16,2607409.81,1,Yes,1783.96,4,Yes,2 4 6 5 ,5
185,0.02,2609709.82,0.16,2614743.16,1,No,1978.58,6,No,4 2 5 7 8 1 ,9
186,0.03,2617226.5,0.16,2622259.84,1,No,830.01,2,No,8 2 ,5
187,0.01,2623593.18,0.15,2628626.52,1,Yes,767.32,2,Yes,7 5 ,5
188,0.01,2629909.86,0.17,2634943.2,1,Yes,570.73,2,Yes,9 1 ,1
189,0.02,2636026.53,0.16,2641059.88,1,Yes,766.08,8,Yes,4 8 5 1 6 9 7 2 ,6
190,0.01,2642326.55,0.16,2647359.89,1,Yes,674.11,4,Yes,3 8 7 1 ,1
191,0.01,2648543.23,0.15,2653576.57,1,No,737.46,2,No,8 5 ,3
192,0.01,2654826.57,0.16,2659859.91,1,Yes,1982.1,8,Yes,3 2 4 8 1 7 5 6 ,1
193,0.02,2662343.25,0.15,2667376.59,1,Yes,721.47,4,Yes,3 5 6 4 ,4
194,0.02,2668609.93,0.16,2673643.27,1,Yes,806.89,8,Yes,2 5 9 8 1 7 6 4 ,8
195,0.01,2674959.94,0.15,2679993.29,1,No,712.91,4,No,1 7 2 5 ,3
196,0.01,2681209.95,0.16,2686243.3,1,Yes,862.87,6,Yes,9 5 6 8 1 2 ,2
197,0.01,2687609.97,0.16,2692643.31,1,No,1638.98,6,No,7 6 8 2 9 5 ,3
198,0.01,2694793.31,0.16,2699826.65,1,Yes,1343.68,8,Yes,5 2 8 7 3 4 9 1 ,2
199,0.01,2701676.66,0.15,2706710,1,Yes,1028.31,4,Yes,1 3 8 6 ,1
200,0.01,2708243.34,0.16,2713276.68,1,No,1045.74,4,No,5 2 7 1 ,8
