SubjectName 014,SessionNumber 1,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
61,0.01,755935.82,0.16,760969.17,1,Yes,897.02,6,Yes,4 1 5 3 9 7 ,5
62,0.01,762369.17,0.17,767402.51,1,Yes,653.19,2,Yes,6 7 ,6
63,0.01,768569.18,0.16,773602.53,1,Yes,613.21,2,Yes,1 3 ,1
64,0.01,774719.2,0.16,779752.54,1,No,1376.84,6,No,4 5 3 6 2 8 ,9
65,0.01,781635.87,0.15,786669.22,1,Yes,1490.59,6,Yes,5 1 2 4 8 9 ,4
66,0.01,788669.22,0.16,793702.56,1,Yes,1121.31,8,Yes,7 1 6 9 3 4 8 5 ,3
67,0.01,795335.9,0.15,800369.24,1,No,758.65,2,No,2 8 ,5
68,0.03,801635.91,0.16,806669.26,1,Yes,1890.67,6,Yes,8 5 1 6 3 4 ,4
69,0.01,809069.26,0.16,814102.6,1,Yes,1137.39,6,Yes,4 5 8 9 7 3 ,9
70,0.02,815752.61,0.17,820785.95,1,Yes,1022.07,8,Yes,2 8 1 5 6 4 9 7 ,5
71,0.02,822319.29,0.16,827352.63,1,No,1095.42,2,No,8 2 ,5
72,0.03,828952.63,0.16,833985.97,1,Yes,982.12,6,Yes,5 9 1 7 8 4 ,4
73,0.03,835469.31,0.16,840502.66,1,No,1785.48,6,No,1 5 3 2 7 9 ,8
74,0.01,842802.66,0.16,847836,1,No,1444.17,8,No,5 9 8 7 4 6 2 1 ,3
75,0.01,849786,0.16,854819.35,1,Yes,1164.83,6,Yes,9 3 2 1 8 5 ,9
76,0.01,856486.02,0.17,861519.36,1,No,1072.86,6,No,9 1 8 3 2 5 ,4
77,0.02,863102.7,0.16,868136.04,1,No,960.26,8,No,4 6 1 2 3 7 9 5 ,8
78,0.01,869602.71,0.17,874636.05,1,No,1038.31,4,No,3 9 7 1 ,4
79,0.01,876186.06,0.16,881219.4,1,No,1908.98,2,No,8 6 ,7
80,0.01,883636.07,0.16,888669.41,1,Yes,3035.05,8,Yes,3 2 4 8 1 7 5 6 ,1
81,0.01,892219.42,0.16,897252.76,1,Yes,1867.73,2,Yes,8 7 ,7
82,0.01,899636.1,0.16,904669.44,1,Yes,1739.03,8,Yes,5 8 2 1 4 9 6 3 ,3
83,0.02,906919.45,0.16,911952.79,1,No,2335.79,6,No,4 2 5 7 8 1 ,9
84,0.01,914802.8,0.17,919836.14,1,Yes,1724.82,6,Yes,1 4 9 6 8 7 ,7
