SubjectName Mt,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
60,0.02,678728.87,0.16,683762.21,1,Yes,682.8,6,Yes,9 2 5 8 1 6 ,1
61,0.01,684945.54,0.16,689978.89,1,Yes,954.14,2,Yes,6 7 ,6
62,0.02,691445.56,0.17,696478.9,1,Yes,718.16,2,Yes,6 3 ,3
63,0.01,697712.24,0.24,702745.58,1,No,1051.52,4,No,6 2 8 1 ,5
64,0.01,704312.25,0.24,709345.59,1,No,1539.61,6,No,9 1 8 3 2 5 ,4
65,0.01,711395.6,0.16,716428.94,1,No,1000.24,2,No,9 7 ,2
66,0.02,717945.61,0.16,722978.95,1,Yes,2162.32,6,Yes,4 1 5 3 9 7 ,5
67,0.01,725645.62,0.15,730678.97,1,Yes,1046.29,2,Yes,8 7 ,7
68,0.02,732228.97,0.16,737262.31,1,No,982.95,2,No,8 5 ,3
69,0.01,738745.65,0.16,743778.99,1,Yes,1770.37,4,Yes,6 2 5 8 ,6
70,0.01,746062.33,0.16,751095.67,1,No,1173.75,6,No,8 3 2 1 9 5 ,4
71,0.02,752779.01,0.16,757812.35,1,No,937.09,8,No,6 3 4 2 8 5 1 9 ,7
72,0.01,759262.36,0.16,764295.7,1,No,749.77,4,No,4 8 1 5 ,9
73,0.02,765562.37,0.15,770595.71,1,Yes,1577.8,6,Yes,8 6 1 4 7 2 ,2
74,0.01,772679.05,0.16,777712.39,1,No,1245.16,8,No,7 1 9 5 4 3 2 8 ,6
75,0.01,779462.4,0.26,784495.74,0,No,805.86,6,Yes,7 1 8 9 2 3 ,2
76,0.02,785812.41,0.18,790845.75,0,No,815.93,8,Yes,3 2 4 8 1 7 5 6 ,1
77,0.01,792162.42,0.16,797195.76,0,No,1729.92,2,Yes,9 3 ,3
78,0.01,799429.1,0.16,804462.44,1,No,855.56,4,No,6 1 5 3 ,4
79,0.01,805829.11,0.15,810862.45,1,Yes,1295.35,6,Yes,1 5 4 2 8 6 ,4
80,0.01,812662.46,0.17,817695.8,1,Yes,982.01,4,Yes,3 9 4 7 ,4
81,0.01,819179.14,0.15,824212.48,1,No,1057.39,6,No,4 2 5 7 8 1 ,9
